time,p1,p2,p3
1980-07-04,-41.16455,136.7417,-15.777832
1980-07-05,-14.166504,82.18994,-15.781738
1980-07-06,-15.755859,35.773926,-12.330078
1980-07-07,-82.15234,137.77148,-2.678711
1980-07-08,-174.89111,76.012695,2.5620117
1980-07-09,-199.84912,69.9541,3.3637695
1980-07-10,-190.44336,137.70459,1.5078125
1980-07-11,-113.336914,67.93506,0.023925781
1980-07-12,-92.98096,-135.896,3.1123047
1980-07-13,-47.143066,-20.86377,4.668457
1980-07-14,-12.588379,27.72461,1.4311523
1980-07-15,-62.628906,45.822266,-5.8276367
1980-07-16,-97.38672,217.37744,2.1899414
1980-07-17,-65.64844,202.6289,0.75097656
1980-07-18,33.188477,54.41748,1.9873047
1980-07-19,74.5874,114.12305,-0.8959961
1980-07-20,72.720215,174.88965,-2.743164
1980-07-21,27.948242,79.433105,-3.522461
1980-07-22,8.736328,-52.23584,-1.3847656
1980-07-23,5.8720703,135.78271,-0.02734375
1980-07-24,24.47461,170.25293,5.0683594
1980-07-25,36.05371,167.73975,10.952148
1980-07-26,32.97412,148.05371,10.05957
1980-07-27,21.23877,13.104004,2.0996094
1980-07-28,36.54004,9.532227,-2.6645508
1980-07-29,37.149414,-0.39794922,-1.4360352
1980-07-30,31.05371,93.85596,-2.6083984
1980-07-31,5.873047,154.21045,-7.4726562
1980-08-01,-28.32666,220.854,0.09423828
1980-08-02,-38.163574,226.2378,8.764648
1980-08-03,-24.55371,204.27588,3.6108398
1980-08-04,-45.695312,194.8252,-5.381836
1980-08-05,-40.07715,130.14648,-5.880371
1980-08-06,-35.393555,-63.289062,-2.1918945
1980-08-07,-1.1020508,-84.4209,1.5649414
1980-08-08,29.700684,-37.640137,1.5473633
1980-08-09,50.354492,60.188965,-2.8554688
1980-08-10,43.286133,119.82031,-3.6411133
1980-08-11,28.208984,69.19385,-0.46923828
1980-08-12,-9.254395,-114.132324,4.7407227
1980-08-13,-22.985352,-17.848633,2.6879883
