,Tokyo,Paris,Boulder,Bogota,Sydney
1993-05-01,290.6384926214249,287.59615511909726,277.15459631427007,287.6210923117393,291.2458913850629
1993-06-01,294.18135520463903,290.67589841038796,282.46799957506835,286.4419193453804,288.3282398459454
1993-07-01,295.18240536641196,290.9484263014044,285.96989391322774,285.9894874217322,289.0514184325643
1993-08-01,297.3786595469565,291.2922033142553,285.1790286608662,286.1141733849423,288.60076773696187
1993-09-01,295.0096262459636,287.40200126209857,280.2325583775149,286.675260219388,288.8430147511988
1993-10-01,289.37382070886486,282.7173715014886,273.57254671404706,286.814196006965,290.4639322729307
1993-11-01,285.6742100576151,276.472385972706,263.6778249192987,287.16866038809104,291.76957243054557
1993-12-01,279.95646803040677,279.6839401393903,261.6436624909274,286.8248833752402,293.89101503316397
1994-01-01,276.3975743947799,278.8164820810568,263.15592510186195,286.28339004929893,295.66155571074813
1994-02-01,277.2454389446089,278.3498003330417,263.96104017859034,286.48466881848105,295.5048076427125
1994-03-01,280.24146451774425,282.763683430681,269.4454413317911,287.07959898579804,293.2390855683795
1994-04-01,287.91677616735194,282.2774081741614,272.218813399194,287.07425530166046,293.0502753955184
1994-05-01,291.9833197960487,287.2399095099254,278.57067261072825,287.0706928455688,290.9591136696796
1994-06-01,294.9882515094133,290.6260240251039,285.8612390024303,286.47220022216004,289.08526176543563
1994-07-01,300.7291495012178,295.28215413698007,286.95313179454206,285.55308655049663,288.5972052808702
1994-08-01,301.97422790527344,292.64949908520003,286.5274182915817,286.0607365435665,288.21424125101044
1994-09-01,297.2023179704164,287.53024968140045,282.15272221095125,286.62538583410395,288.940982293721
1994-10-01,292.13650540799256,284.91718813812486,274.96368581786317,286.85160179592805,290.2501849074276
1994-11-01,284.78181480663955,283.713077979124,265.8580480474305,287.0083498639637,292.1810361091391
1994-12-01,280.13102837890096,279.86918785615967,262.8299603694697,286.96203793477133,293.93732696235634
1995-01-01,277.43603034551586,278.1449591077679,262.6660873892506,286.3421705748123,294.4556643237014
1995-02-01,278.21977068569396,281.21223380273756,268.18789433141444,287.2185347733751,295.1325309811279
1995-03-01,281.1855153820497,279.8193134708756,268.6937630964385,287.33253336831007,293.6968611761653
1995-04-01,287.28622143911775,282.6924343088466,270.674488683434,287.31650231589737,291.5184192760794
1995-05-01,291.50060699562084,286.95847547867965,274.7071889792594,287.0475368809726,290.75783490049747
1995-06-01,293.18386749895785,289.2687282541591,280.4890552161187,286.63072951824154,288.447582125018
1995-07-01,299.00670198087187,294.713942390351,284.63753533492496,286.2406405761983,287.2078474050999
1995-08-01,301.96354053699827,293.94445187453977,286.99766249568853,286.54166811594854,289.6196301791934
1995-09-01,295.777335533729,287.3485644207228,280.5959288988702,286.890788812937,288.87507685602424
1995-10-01,291.6146055905558,287.67631038116093,273.36236180463567,286.88722635684525,290.48352578143516
1995-11-01,283.9731372738195,280.0686853972959,267.8565859148846,286.86585162029496,292.3449090893581
1995-12-01,278.9625427808173,276.63447772487916,262.3508100251335,286.67347899134217,292.62278066451216
